Dataset including locations of surface slope breaks displaced upstream from flexural grounding line
Column 1: x-position (meters) on South Polar stereographic projection
Column 2: y-position (meters) on South Polar stereographic projection
Column 3: Displacement (meters) of surface slope break (Ib) from flexural grounding line (F)

x(m),y(m),displacement(m)
-535525.046640272,1837403.04942805,1337.77412329128
-497926.486053415,1692055.74070068,778.17657750619
-490782.616105498,1698488.42899084,1278.04305580102
-497489.572933148,1689304.67228028,1186.15811312254
-529162.441879709,1816905.98919474,1014.13230410706
-504792.61096685,1707837.45550024,5580.40611067437
-464239.415886247,1642401.57599268,2033.34343136507
-597046.673088255,1585823.70534117,1194.95619434152
-502318.28526586,1637908.79308123,1080.37128786683
-481323.912778918,1687761.47327536,3430.25653672372
-483206.605756796,1642952.1763846,482.337531989777
-478914.982649654,1643016.79641845,1697.17387846264
-519129.809217778,1536425.91846938,1532.92481466035
-639720.285536224,1617465.21935254,1624.81128803527
-512653.813644484,1632624.92297439,93.394529398936
-455981.536490528,1673528.82763965,1111.06203080872
-540831.744176167,1486210.69007571,5101.99354025525
-464135.610681885,1641957.4973452,1637.63629138599
-597083.100194068,1585775.59676341,1098.328769354
-620472.006742722,1658061.01691466,249.666911670653
-600276.912242129,1585929.31402037,2068.35249738964
-505552.279694468,1636639.13420778,3609.77624740423
-512534.977166481,1573356.17535218,2477.39640748629
-491980.874211038,1697724.04218324,1289.96684313122
